Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-02-09,Afghanistan,,0,0,0
2020-02-10,Afghanistan,,0,0,0
2020-02-11,Afghanistan,,0,0,0
2020-02-12,Afghanistan,,0,0,0
2020-02-13,Afghanistan,,0,0,0
2020-02-14,Afghanistan,,0,0,0
2020-02-15,Afghanistan,,0,0,0
2020-02-16,Afghanistan,,0,0,0
2020-02-17,Afghanistan,,0,0,0
2020-02-18,Afghanistan,,0,0,0
2020-02-19,Afghanistan,,0,0,0
2020-02-20,Afghanistan,,0,0,0
2020-02-21,Afghanistan,,0,0,0
2020-02-22,Afghanistan,,0,0,0
2020-02-23,Afghanistan,,0,0,0
2020-02-24,Afghanistan,,1,0,0
2020-02-25,Afghanistan,,1,0,0
2020-02-26,Afghanistan,,1,0,0
2020-02-27,Afghanistan,,1,0,0
2020-02-28,Afghanistan,,1,0,0
2020-02-29,Afghanistan,,1,0,0
2020-03-01,Afghanistan,,1,0,0
2020-03-02,Afghanistan,,1,0,0
2020-03-03,Afghanistan,,2,0,0
2020-03-04,Afghanistan,,4,0,0
2020-03-05,Afghanistan,,4,0,0
2020-03-06,Afghanistan,,4,0,0
2020-03-07,Afghanistan,,4,0,0
2020-03-08,Afghanistan,,5,0,0
2020-03-09,Afghanistan,,7,0,0
2020-03-10,Afghanistan,,8,0,0
2020-03-11,Afghanistan,,11,0,0
2021-01-19,Canada,Northwest Territories,28,,0
2021-01-20,Canada,Northwest Territories,31,,0
2021-01-21,Canada,Northwest Territories,31,,0
2021-01-22,Canada,Northwest Territories,31,,0
2021-01-23,Canada,Northwest Territories,31,,0
2021-01-24,Canada,Northwest Territories,31,,0
2021-01-25,Canada,Northwest Territories,31,,0
2021-01-26,Canada,Northwest Territories,31,,0
2021-01-27,Canada,Northwest Territories,31,,0
2021-01-28,Canada,Northwest Territories,31,,0
2021-01-29,Canada,Northwest Territories,35,,0
2021-01-30,Canada,Northwest Territories,35,,0
2021-01-31,Canada,Northwest Territories,35,,0
2021-02-01,Canada,Northwest Territories,35,,0
2021-02-02,Canada,Northwest Territories,36,,0
2021-02-03,Canada,Northwest Territories,36,,0
2021-02-04,Canada,Northwest Territories,36,,0
2021-02-05,Canada,Northwest Territories,36,,0
2021-02-06,Canada,Northwest Territories,36,,0
2021-02-07,Canada,Northwest Territories,36,,0
2021-02-08,Canada,Northwest Territories,38,,0
2021-02-09,Canada,Northwest Territories,38,,0
2021-02-10,Canada,Northwest Territories,39,,0
2021-02-11,Canada,Northwest Territories,43,,0
2020-05-01,China,Tibet,1,1,0
2020-05-02,China,Tibet,1,1,0
2020-05-03,China,Tibet,1,1,0
2020-05-04,China,Tibet,1,1,0
2020-05-05,China,Tibet,1,1,0
2020-05-06,China,Tibet,1,1,0
2020-05-07,China,Tibet,1,1,0
2020-05-08,China,Tibet,1,1,0
2020-05-09,China,Tibet,1,1,0
2020-05-10,China,Tibet,1,1,0
2020-05-11,China,Tibet,1,1,0
2020-05-12,China,Tibet,1,1,0
2020-05-13,China,Tibet,1,1,0
2020-05-14,China,Tibet,1,1,0
2020-05-15,China,Tibet,1,1,0
2020-05-16,China,Tibet,1,1,0
2020-05-17,China,Tibet,1,1,0
2020-05-18,China,Tibet,1,1,0
2020-01-22,US,,1,0,0
2020-01-23,US,,1,0,0
2020-01-24,US,,2,0,0
2020-01-25,US,,2,0,0
2020-01-26,US,,5,0,0
2020-01-27,US,,5,0,0
2020-01-28,US,,5,0,0
2020-01-29,US,,6,0,0
2020-01-30,US,,6,0,0
2020-01-31,US,,8,0,0
2020-02-01,US,,8,0,0
2020-02-02,US,,8,0,0
2020-02-03,US,,11,0,0
2020-02-04,US,,11,0,0
2020-02-05,US,,11,0,0
2020-02-06,US,,12,0,0
2020-02-07,US,,12,0,0
2020-02-08,US,,12,0,0
2020-02-09,US,,12,3,0
2020-02-10,US,,12,3,0
2020-02-11,US,,13,3,0
2020-02-12,US,,13,3,0
2020-02-13,US,,14,3,0
2020-02-14,US,,14,3,0
2020-02-15,US,,14,3,0
2020-02-16,US,,14,3,0
2020-02-17,US,,14,3,0
2020-02-18,US,,14,3,0
2020-02-19,US,,14,3,0
2020-02-20,US,,14,3,0
2020-02-21,US,,16,5,0
2020-02-22,US,,16,5,0
2020-02-23,US,,16,5,0
2020-02-24,US,,16,5,0
2020-02-25,US,,16,6,0
2020-02-26,US,,16,6,0
2020-02-27,US,,17,6,0
2020-02-28,US,,17,7,0
2020-02-29,US,,25,7,1
2020-03-01,US,,32,7,1
